,years,months,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,price_actual_lag_1,price_actual_lag_2,price_actual_lag_3,price_actual_lag_4,rolling_mean_3,rolling_std_3,days,weekdays,dates
0,2015,1,357447.64893708087,423207.64893708087,3544890.648937081,3957269.648937081,228063.6489370809,284183.5329433585,540294.6489370809,754160.6489370809,1886444.648937081,4869084.648937081,55493.6489370809,55795.6489370809,832645.6489370809,171408.6489370809,5546393.648937081,835375.0,284183.5329433585,5630195.0,22336651.0,22042387.594778143,35142.33,48095.96,48127.26,48150.25,48159.01,48169.1,48139.971515436766,3217.784558541095,11901,2295,2015-01-01
1,2015,2,315992.0,210616.0,3141835.0,2719981.0,214640.0,257721.0987016693,489264.0,779854.0,2496817.0,4489714.0,53361.0,47387.0,836335.0,143688.0,5194268.0,811222.0,257721.0987016693,5188676.0,19903758.0,19489657.64893708,29706.63,37909.53,37889.95,37885.91,37891.24,37886.14,37889.033333333326,3207.238041036156,9744,2016,2015-02-01
2,2015,3,348245.0,181838.0,3433721.0,3151670.0,237491.0,285334.07356256247,446991.0,873180.0,2288330.0,4976219.0,55597.0,49581.0,953698.0,131871.0,5022025.0,983315.0,285334.07356256247,4997252.0,21119101.0,21152698.0,34638.26,41276.05,41290.47,41298.72,41296.76,41296.85,41295.316666666666,2648.3234151458064,11904,2184,2015-03-01
3,2015,4,306929.02707946923,333379.02707946923,3556447.027079469,3461263.027079469,244021.02707946926,276129.7486089314,350133.02707946923,722995.0270794693,1810225.0270794693,4357709.0270794695,43800.027079469255,50810.027079469255,1050197.0270794693,138858.02707946926,3946920.027079469,1043564.0,276129.7486089314,3947545.0,19766212.0,19647334.054158937,35208.56,42050.02,42033.88,42014.94,42009.72,42002.4,42019.513333333336,2220.824196171416,11160,2136,2015-04-01
4,2015,5,374663.0,279105.0,3285211.0,2991139.0,247479.0,285334.07356256247,395932.0,668073.0,2079558.0,4020439.0,61178.0,52501.0,1428551.0,151008.0,5029791.0,1417036.0,285334.07356256247,5034176.0,20485088.0,20376097.02707947,33872.87,42640.69,42633.34,42626.78,42622.89,42620.37,42627.670000000006,1837.922207280582,11904,2376,2015-05-01
5,2015,6,349810.51353973465,479186.51353973465,3548280.5135397348,4464065.513539734,229891.51353973462,276129.7486089314,281826.51353973465,625199.5135397346,1820108.5135397345,4069404.5135397348,58785.513539734624,47481.513539734624,1437422.5135397345,180593.51353973462,3145667.5135397348,1424767.0,276129.7486089314,3152971.0,20135272.0,20196804.0,38229.73,47511.31,47507.46,47501.93,47494.75,47489.94,47501.38000000002,1755.0433802264643,11160,2040,2015-06-01
6,2015,7,381348.0,509050.0,4860460.0,5022853.0,268108.0,285334.07356256247,232974.0,550421.0,1797948.0,4823826.0,60973.0,50842.0,1468494.0,181091.0,2940601.0,1481967.0,285334.07356256247,2930476.0,22752795.0,22697955.0,42916.5,52858.56,52865.0,52877.6,52878.3,52878.05,52873.63333333336,2244.901547966786,11904,2232,2015-07-01
7,2015,8,386113.0,435867.0,3656485.0,4359654.0,241011.0,285334.07356256247,425690.0,523869.0,1456167.0,4789767.0,60925.0,50713.0,1293794.0,173313.0,3620083.0,1302268.0,285334.07356256247,3619615.0,20641215.0,20626568.0,39259.38,47632.54,47627.14,47614.56,47612.25,47612.03,47617.983333333366,1989.5547401476258,11904,2280,2015-08-01
8,2015,9,372265.0,394586.0,3656464.0,4070167.0,247231.0,276129.7486089314,314345.0,522584.0,1630058.0,4655645.0,57696.0,48938.0,1145713.0,171247.0,3111006.0,1122560.0,276129.7486089314,3119311.0,20027286.0,19972290.0,37034.96,43380.15,43379.02,43383.45,43387.64,43395.91,43383.37000000003,1745.9224526345254,11160,2088,2015-09-01
9,2015,10,386446.51353973465,392104.51353973465,3887551.5135397348,4299005.513539734,240687.51353973462,285334.07356256247,306796.51353973465,521583.51353973465,1691213.5135397345,4348660.513539734,63069.513539734624,52894.513539734624,805561.5135397346,177572.51353973462,3419155.5135397348,810329.0,285334.07356256247,3424158.0,20595944.0,20492766.02707947,38969.75,44196.96,44194.18,44194.55,44197.35,44198.26,44195.36000000002,1921.7196209628644,11904,2304,2015-10-01
10,2015,11,362616.0,500539.0,3878432.0,4307157.0,249134.0,276129.7486089314,374526.0,558851.0,1731566.0,4300615.0,60922.0,50618.0,843632.0,174832.0,3233767.0,826692.0,276129.7486089314,3234931.0,20331191.0,20353377.0,38277.55,43732.53,43723.29,43715.12,43704.24,43688.35,43714.216666666696,1988.6522026938123,11160,2160,2015-11-01
11,2015,12,359812.51353973465,366392.51353973465,3761549.5135397348,3952002.5135397348,246030.51353973462,285334.07356256247,505611.51353973465,542532.5135397346,1444635.5135397345,4923498.513539734,55947.513539734624,53609.513539734624,649968.5135397346,161105.51353973462,3672297.5135397348,662029.0,285334.07356256247,3666471.0,20661704.0,20548851.513539735,37449.81,46040.13,46054.91,46067.04,46076.1,46085.99,46066.01666666669,2323.549997593521,11904,2160,2015-12-01
12,2016,1,342210.0,310938.0,3920307.0,3126605.0,251069.0,285334.07356256247,629969.0,785726.0,3031062.0,4630515.0,55716.0,57984.0,763159.0,184243.0,3723499.0,749616.0,285334.07356256247,3734994.0,21821848.0,21805995.0,30847.74,33898.57,33910.57,33923.24,33934.86,33950.27,33922.890000000036,2313.9059382527425,11904,2376,2016-01-01
13,2016,2,299523.0,133399.0,3098147.0,2107450.0,206949.0,266925.42365530034,574508.0,810631.0,3398710.0,4286857.0,54580.0,51829.0,875609.0,146860.0,4545215.0,886688.0,266925.42365530034,4547450.0,20394080.0,20374862.0,21876.6,25565.89,25579.45,25592.53,25605.02,25614.26,25592.333333333372,2148.200037302927,10440,2016,2016-02-01
14,2016,3,319658.0,128690.0,3225057.0,2219445.0,218703.0,285334.07356256247,618244.0,954750.0,2898991.0,4983118.0,58342.0,54589.0,1027516.0,165424.0,4392356.0,1038515.0,285334.07356256247,4390928.0,20857244.0,20842582.0,24741.81,27384.32,27387.65,27389.56,27397.42,27407.88,27391.543333333375,1921.6190350770114,11904,2160,2016-03-01
15,2016,4,206641.0,103371.0,3070400.0,1603700.0,187342.0,276129.7486089314,452056.0,1053341.0,3688228.0,4828610.0,39243.0,56368.0,1001102.0,172095.51353973462,3842054.0,999819.0,276129.7486089314,3848008.0,20192886.0,20112618.02707947,22451.79,23477.9,23482.16,23485.44,23485.98,23487.67,23484.52666666671,1815.8992556836104,11160,2232,2016-04-01
16,2016,5,250800.0,133178.0,3353711.0,1656167.0,206765.0,285334.07356256247,424118.0,1037583.0,3409637.0,4251242.0,24039.0,58990.0,1256751.0,174139.0,3953181.0,1274752.0,285334.07356256247,3955968.0,20338062.0,20315050.513539735,23238.26,25843.43,25827.13,25810.38,25799.82,25789.27,25812.44333333337,1404.8391414033513,11904,2184,2016-05-01
17,2016,6,244993.0,126432.0,3595896.0,2071227.0,208626.0,276129.7486089314,327048.0,788086.5135397346,2146517.0,4786143.0,42797.0,60095.0,1398839.0,182835.0,4060442.0,1415989.0,276129.7486089314,4063576.0,20291795.0,20357062.0,27237.13,33325.66,33317.28,33311.75,33304.0,33295.82,33311.01000000004,1198.704573004347,11160,2136,2016-06-01
18,2016,7,261794.51353973462,296703.51353973465,4068293.5135397348,2975546.5135397348,213365.02707946926,285334.07356256247,299031.51353973465,661211.5135397346,1901660.5135397345,4931915.0,42066.513539734624,58811.513539734624,1423796.5135397345,216273.51353973462,4245523.513539734,1443608.0,285334.07356256247,4246206.0,21976040.0,21928483.513539735,29431.6,35334.56,35340.33,35341.5,35343.88,35344.79,35341.90333333337,1163.50664713706,11904,2376,2016-07-01
